Name,Latitude,Longitude,Sample Date,Source,4-Chlorophenyl ether,Air Temperature (°C) [°C],"Alkalinity, total",Aluminum,Ammonia,Ammonia (mg/L),Ammonia-nitrogen,Arsenic,Atrazine,Barium,Beryllium,Bicarbonate,"Biochemical oxygen demand, standard conditions",Boron,Bromide,Cadmium,Calcium,Carbon,Carbon dioxide,Chemical oxygen demand,Chloride,Chlorine,Chloroform,Chlorophyll,Chlorophyll a,"Chlorophyll a, uncorrected for pheophytin",Chromium,Cobalt,Color,Conductivity,Conductivity (uS/cm),Copper,Count,Cylindrospermopsin,DO (mg/L) ,Days Since Rain,Depth,"Depth, Secchi disk depth",Dissolved Oxygent (mg/L),Dissolved oxygen (DO),Dissolved oxygen saturation,E. Coli Average,E. coli (MPN/100 mL),Escherichia coli,Extract volume,Fecal Coliform,Fixed suspended solids,Flow,Flow (CFS),Flow Meas. Method,Flow Severity,Fluoride,Gran acid neutralizing capacity,"Hardness, Ca, Mg","Hardness, magnesium","Hydrocarbons, petroleum",Iron,Kjeldahl nitrogen,Lead,Lithium,Magnesium,Manganese,Mercury,Methylmercury(1+),Microcystins,Moisture content,Molybdenum,Nickel,Nitrate,Nitrate (mg/L),Nitrate + Nitrite,Nitrate-Nitrogen (ppm or mg/L),Nitrite,Nitrogen,Organic carbon,Orthophosphate,Oxidation reduction potential (ORP),Oxygen,Particle distribution,Particle size,Pheophytin a,Phosphorus,Phytoplankton Density,Phytoplankton biovolume,Polychlorinated biphenyls,Potassium,Precipitation,"Precipitation, time since event",RBP Stream width,Rainfall Total (inches in last 3 days),River/stream channel slope,Sample Depth (m) ,Sand,Sea waves severity (choice list),Secchi Disc Transparency (m),Selenium,Silica,Silver,Sodium,Sodium adsorption ratio [(Na),"Specific Conductance, Calculated/Measured Ratio",Specific conductance,Streptococcus,Strontium,Sulfate,Sulfur Sulfate,Suspended Sediment Concentration (SSC) ,TCEQ Stream Segment,TDS,TKN (mg/L),Temperature (°C),"Temperature, air","Temperature, sample","Temperature, water",Total Coliform,"Total Nitrogen, mixed forms",Total P (mg/L),"Total Phosphorus, mixed forms",Total Sample Weight,Total Suspended Solids (mg/L),Total Suspended Solids (µg/L),Total dissolved solids,Total solids,Total suspended solids,Total volatile solids,Transparency Tube (m),"Transparency, Secchi tube with disk",True color,Turbidity,Velocity - stream,Water Temperature (°C),Weather condition (WMO code 4501) ,Width,Zinc,"p,p'-DDE",pH
2,30.1908,-98.1203,10/22/1998,Meadows,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,,0.39,,,,,,,,,,,,,1427,,,,,,,,,,,,,,,,,,,,,,,19,,,,,7.9
2,30.1908,-98.1203,11/1/2022,Meadows,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,1427,,,,,,,,,,,,,,,,,,,,,,,22,,,,,7
15,30.2912,-98.384,9/12/1995,Meadows,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,25,,,,,7.6
15,30.2912,-98.384,9/15/1995,Meadows,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,26,,,,,7.7
15,30.2912,-98.384,9/26/1995,Meadows,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,26,,,,,7.8
15,30.2912,-98.384,10/6/1995,Meadows,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,21,,,,,8.3
15,30.2912,-98.384,10/16/1995,Meadows,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,28,,,,,8.3
15,30.2912,-98.384,10/26/1995,Meadows,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,20,,,,,7.9
15,30.2912,-98.384,11/10/1995,Meadows,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,20,,,,,8
15,30.2912,-98.384,11/16/1995,Meadows,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,19,,,,,8.1
